CPU,Price (Euros)
Intel Core i5 2.3GHz,"1339,69"
Intel Core i5 1.8GHz,"898,94"
Intel Core i5 7200U 2.5GHz,"575,00"
Intel Core i7 2.7GHz,"2537,45"
Intel Core i5 3.1GHz,"1803,60"
AMD A9-Series 9420 3GHz,"400,00"
Intel Core i7 2.2GHz,"2139,97"
Intel Core i5 1.8GHz,"1158,70"
Intel Core i7 8550U 1.8GHz,"1495,00"
Intel Core i5 8250U 1.6GHz,"770,00"
Intel Core i5 7200U 2.5GHz,"393,90"
Intel Core i3 6006U 2GHz,"344,99"
Intel Core i7 2.8GHz,"2439,97"
Intel Core i3 6006U 2GHz,"498,90"
Intel Core M m3 1.2GHz,"1262,40"
Intel Core i5 2.3GHz,"1518,55"
Intel Core i7 7500U 2.7GHz,"745,00"
Intel Core i7 2.9GHz,"2858,00"
Intel Core i3 7100U 2.4GHz,"499,00"
Intel Core i5 8250U 1.6GHz,"979,00"
Intel Atom x5-Z8350 1.44GHz,"191,90"
Intel Core i5 7300HQ 2.5GHz,"999,00"
AMD E-Series E2-9000e 1.5GHz,"258,00"
Intel Core i5 8250U 1.6GHz,"819,00"
Intel Core i7 8550U 1.8GHz,"659,00"
Intel Core i3 6006U 2GHz,"418,64"
Intel Core i5 1.6GHz,"1099,00"
Intel Core i5 8250U 1.6GHz,"800,00"
Intel Core i7 8650U 1.9GHz,"1298,00"
Intel Core i5 8250U 1.6GHz,"896,00"
Intel Atom x5-Z8300 1.44GHz,"244,99"
AMD E-Series E2-6110 1.5GHz,"199,00"
AMD A6-Series 9220 2.5GHz,"439,00"
Intel Core i7 8550U 1.8GHz,"1869,00"
Intel Core i5 1.6GHz,"998,00"
Intel Celeron Dual Core N3350 1.1GHz,"249,00"
Intel Core i3 7130U 2.7GHz,"367,00"
Intel Core i5 8250U 1.6GHz,"979,00"
Intel Core i5 7200U 2.5GHz,"488,69"
Intel Core i5 8250U 1.6GHz,"879,00"
Intel Core i3 6006U 2GHz,"389,00"
Intel Core i7 7700HQ 2.8GHz,"1499,00"
Intel Core i5 7200U 2.5GHz,"522,99"
Intel Core i5 8250U 1.6GHz,"682,00"
Intel Core i5 8250U 1.6GHz,"999,00"
Intel Core i5 2.0GHz,"1419,00"
Intel Core i3 6006U 2GHz,"369,00"
AMD Ryzen 1700 3GHz,"1299,00"
Intel Core i5 7200U 2.5GHz,"639,00"
Intel Pentium Quad Core N4200 1.1GHz,"466,00"
Intel Atom x5-Z8550 1.44GHz,"319,00"
Intel Core i7 8550U 1.8GHz,"841,00"
AMD A6-Series 9220 2.5GHz,"398,49"
Intel Core i7 8550U 1.8GHz,"1103,00"
Intel Core i3 7100U 2.4GHz,"384,00"
Intel Core i7 8550U 1.8GHz,"767,80"
Intel Core i3 6006U 2GHz,"439,00"
Intel Core i5 7200U 2.5GHz,"586,19"
Intel Core i7 7700HQ 2.8GHz,"2449,00"
Intel Core i3 6006U 2GHz,"415,00"
Intel Core i7 8550U 1.8GHz,"1299,00"
Intel Core i5 8250U 1.6GHz,"879,00"
Intel Core i3 7130U 2.7GHz,"599,00"
Intel Core i5 8250U 1.6GHz,"941,00"
Intel Core i5 7200U 2.5GHz,"690,00"
Intel Core i7 7700HQ 2.8GHz,"1983,00"
Intel Core i3 6006U 2GHz,"438,69"
Intel Celeron Dual Core N3060 1.6GHz,"229,00"
Intel Core i5 7200U 2.5GHz,"549,00"
Intel Core i7 7700HQ 2.8GHz,"949,00"
Intel Core i5 7200U 2.5GHz,"1089,00"
Intel Core i7 8550U 1.8GHz,"955,00"
Intel Core i7 8550U 1.8GHz,"870,00"
Intel Core i5 7300HQ 2.5GHz,"1095,00"
Intel Core i3 6006U 2GHz,"389,00"
Intel Core i7 7700HQ 2.8GHz,"949,00"
Intel Core i5 7200U 2.5GHz,"519,00"
Intel Core i7 8550U 1.8GHz,"855,00"
Intel Core i3 7130U 2.7GHz,"530,00"
Intel Core i5 8250U 1.6GHz,"977,00"
Intel Core i5 8250U 1.6GHz,"1096,16"
Intel Core i5 1.3GHz,"1510,00"
Intel Core i5 8250U 1.6GHz,"860,00"
AMD A6-Series 9220 2.5GHz,"399,00"
AMD A9-Series 9420 3GHz,"395,00"
Intel Core i7 7700HQ 2.8GHz,"1349,00"
Intel Core i7 8550U 1.8GHz,"699,00"
Intel Core i5 7200U 2.5GHz,"598,99"
Intel Core i7 7700HQ 2.8GHz,"1449,00"
Intel Core i7 8550U 1.8GHz,"1649,00"
AMD FX 9830P 3GHz,"699,00"
Intel Core i7 8550U 1.8GHz,"689,00"
Intel Core i7 8550U 1.8GHz,"1197,00"
Intel Core i5 7300HQ 2.5GHz,"1195,00"
Intel Core i7 7500U 2.7GHz,"1049,00"
Intel Core i5 8250U 1.6GHz,"847,00"
Intel Core i7 7500U 2.7GHz,"599,90"
Intel Core i3 6006U 2GHz,"485,00"
Intel Core i3 7100U 2.4GHz,"577,00"
Intel Core i7 7700HQ 2.8GHz,"1249,00"
Intel Core i7 7500U 2.7GHz,"719,00"
AMD E-Series E2-9000e 1.5GHz,"349,00"
Intel Core i5 8250U 1.6GHz,"647,00"
Intel Core i7 7500U 2.7GHz,"1119,00"
Intel Core i5 7200U 2.5GHz,"1340,00"
Intel Core i5 7200U 2.5GHz,"659,00"
Intel Core i3 6006U 2GHz,"414,90"
Intel Core i7 7500U 2.7GHz,"1193,00"
Intel Core i7 7700HQ 2.8GHz,"1299,00"
Intel Core i7 7500U 2.7GHz,"1480,00"
Intel Core i7 8550U 1.8GHz,"1262,00"
Intel Core i7 7560U 2.4GHz,"1379,00"
Intel Core i5 7200U 2.5GHz,"1399,00"
Intel Core i5 8250U 1.6GHz,"722,00"
Intel Core i5 8250U 1.6GHz,"1629,00"
Intel Core i5 8250U 1.6GHz,"1398,99"
Intel Core i7 8550U 1.8GHz,"1084,00"
Intel Core i7 8550U 1.8GHz,"1130,33"
Intel Core i3 6006U 2GHz,"564,00"
Intel Core i7 8550U 1.8GHz,"1118,00"
Intel Core i3 7100U 2.4GHz,"479,00"
Intel Core i7 7700HQ 2.8GHz,"2241,50"
Intel Core i5 7200U 2.5GHz,"629,00"
Intel Core i7 8550U 1.8GHz,"1271,00"
AMD A9-Series 9420 3GHz,"451,00"
Intel Celeron Dual Core N3060 1.6GHz,"259,00"
Intel Core i5 8250U 1.6GHz,"812,00"
AMD E-Series 6110 1.5GHz,"277,99"
Intel Core i7 8550U 1.8GHz,"1396,00"
Intel Core i5 8250U 1.6GHz,"928,00"
Intel Core i5 7200U 2.5GHz,"638,99"
Intel Core i3 6006U 2GHz,"449,00"
Intel Core i7 8550U 1.8GHz,"884,00"
Intel Core i3 7130U 2.7GHz,"572,00"
Intel Core i7 7500U 2.7GHz,"598,00"
Intel Core i7 8550U 1.8GHz,"988,00"
Intel Celeron Dual Core N3350 1.1GHz,"252,36"
Intel Core i5 7300HQ 2.5GHz,"938,00"
Intel Core i5 7200U 2.5GHz,"499,00"
Intel Core i5 7200U 2.5GHz,"699,00"
Intel Core i3 7130U 2.7GHz,"655,00"
Intel Core i5 8250U 1.6GHz,"1116,02"
Intel Core i7 7700HQ 2.8GHz,"869,00"
Intel Core i5 6200U 2.3GHz,"602,00"
AMD A6-Series 9220 2.5GHz,"369,00"
Intel Core i7 8550U 1.8GHz,"1099,00"
Intel Core M 6Y75 1.2GHz,"2014,00"
Intel Celeron Dual Core N3350 1.1GHz,"344,00"
Intel Core i7 7700HQ 2.8GHz,"2029,00"
Intel Core i3 6006U 2GHz,"447,00"
Intel Core i7 7700HQ 2.8GHz,"1249,26"
Intel Core i7 7700HQ 2.8GHz,"899,00"
Intel Core i5 7200U 2.5GHz,"498,00"
Intel Core i7 7700HQ 2.8GHz,"1890,00"
Intel Core i5 7500U 2.7GHz,"1082,00"
Intel Core i5 8250U 1.6GHz,"619,00"
Intel Core i3 7100U 2.4GHz,"629,00"
Intel Core i5 8250U 1.6GHz,"1315,00"
Intel Core i7 8550U 1.8GHz,"1049,00"
Intel Core i3 6006U 2.2GHz,"447,00"
AMD A9-Series 9420 3GHz,"403,00"
Intel Core i5 8250U 1.6GHz,"805,00"
Intel Core i5 8250U 1.6GHz,"728,00"
Intel Core i7 7700HQ 2.8GHz,"1079,00"
Intel Celeron Dual Core N3350 1.1GHz,"348,00"
Intel Core i7 7700HQ 2.8GHz,"1799,00"
Intel Pentium Quad Core N4200 1.1GHz,"363,51"
Intel Core i7 7700HQ 2.8GHz,"1060,49"
Intel Core i5 8250U 1.6GHz,"854,00"
Intel Core i5 8250U 1.6GHz,"754,00"
Intel Core i5 7200U 2.5GHz,"1349,00"
Intel Core i5 7200U 2.5GHz,"699,00"
AMD A6-Series 9220 2.9GHz,"309,00"
Intel Core i3 7100U 2.4GHz,"489,00"
Intel Core i5 8250U 1.6GHz,"923,00"
Intel Core i3 7100U 2.4GHz,"459,00"
Intel Core i3 6006U 2GHz,"449,00"
Intel Core i7 6920HQ 2.9GHz,"2799,00"
Intel Core i5 7200U 2.5GHz,"813,00"
Intel Core i5 8250U 1.6GHz,"1499,00"
Intel Core i7 8550U 1.8GHz,"1049,00"
Intel Core i5 8250U 1.6GHz,"1399,00"
Intel Core i7 8550U 1.8GHz,"1849,00"
Intel Core i5 7200U 2.5GHz,"793,00"
Intel Core i5 8250U 1.6GHz,"1199,00"
Intel Core i7 8550U 1.8GHz,"1549,00"
Intel Core i7 7700HQ 2.8GHz,"2397,00"
Intel Core i5 7300HQ 2.5GHz,"779,00"
Intel Core i5 7Y54 1.2GHz,"989,00"
Intel Core i7 8550U 1.8GHz,"1085,00"
Intel Core i7 7500U 2.7GHz,"2824,00"
Intel Celeron Dual Core N3350 1.1GHz,"260,00"
Intel Core i5 7200U 2.5GHz,"999,90"
Intel Core i5 8250U 1.6GHz,"698,00"
Intel Core i7 8550U 1.8GHz,"839,00"
Intel Core i5 8250U 1.6GHz,"914,00"
Intel Core i7 7820HK 2.9GHz,"6099,00"
Intel Core i5 8250U 1.6GHz,"959,00"
Intel Core i7 7700HQ 2.8GHz,"1379,00"
Intel Core i7 8550U 1.8GHz,"1045,00"
Intel Core i7 7700HQ 2.8GHz,"1845,00"
Intel Core i5 6200U 2.3GHz,"493,00"
Intel Core i7 7500U 2.7GHz,"742,00"
Intel Core i7 7700HQ 2.8GHz,"1749,00"
Intel Xeon E3-1505M V6 3GHz,"3055,00"
Intel Core i7 7700HQ 2.8GHz,"1398,00"
Intel Core i3 7100U 2.4GHz,"439,00"
Intel Core i7 8550U 1.8GHz,"1949,00"
Intel Core i7 8550U 1.8GHz,"1449,00"
Intel Core i5 7200U 2.5GHz,"597,00"
Intel Core i7 7700HQ 2.8GHz,"779,00"
Intel Core i7 7700HQ 2.8GHz,"1407,00"
Intel Core i3 6006U 2GHz,"349,00"
Intel Core i5 7200U 2.5GHz,"549,00"
Intel Core i7 7500U 2.7GHz,"1499,00"
Intel Core i7 8550U 1.8GHz,"931,88"
Intel Core i5 7200U 2.5GHz,"589,00"
Intel Core i7 8550U 1.8GHz,"1031,00"
Intel Core i5 8250U 1.6GHz,"1149,00"
Intel Core i7 8550U 1.8GHz,"1279,00"
Intel Core i5 8250U 1.6GHz,"677,35"
Intel Core i5 8250U 1.6GHz,"899,00"
Intel Core i7 6500U 2.5GHz,"1363,00"
Intel Core i5 8250U 1.6GHz,"794,00"
Intel Core i7 7700HQ 2.8GHz,"2456,34"
Intel Core i7 7500U 2.7GHz,"832,00"
Intel Core i7 7500U 2.7GHz,"859,01"
Intel Core i5 7200U 2.5GHz,"769,00"
Intel Core i5 7200U 2.5GHz,"891,00"
Intel Core i7 7500U 2.7GHz,"1269,00"
Intel Core i3 7100U 2.4GHz,"398,99"
AMD E-Series 9000e 1.5GHz,"330,00"
Intel Core i7 7700HQ 2.8GHz,"1499,00"
Intel Core i5 7200U 2.5GHz,"859,00"
Intel Core i5 6200U 2.3GHz,"689,00"
Intel Core i7 7500U 2.7GHz,"899,00"
Intel Core i3 6006U 2GHz,"390,00"
AMD A10-Series A10-9620P 2.5GHz,"575,00"
Intel Core i7 7820HK 2.9GHz,"3890,00"
Intel Core i5 7300HQ 2.5GHz,"846,00"
Intel Core i3 6006U 2GHz,"589,00"
Intel Core i7 8550U 1.8GHz,"1145,00"
Intel Core i7 7500U 2.7GHz,"889,00"
Intel Core i5 7300HQ 2.5GHz,"879,00"
Intel Core i7 7500U 2.7GHz,"1079,00"
Intel Core i7 8550U 1.8GHz,"985,00"
Intel Core i5 7200U 2.5GHz,"559,00"
Intel Core i7 7820HK 2.9GHz,"2999,00"
Intel Core i5 8250U 1.6GHz,"675,00"
Intel Core i5 3.1GHz,"2040,00"
Intel Core i7 8550U 1.8GHz,"819,00"
Intel Core i7 7700HQ 2.8GHz,"1799,00"
AMD A9-Series 9420 3GHz,"469,00"
Intel Core i7 8550U 1.8GHz,"1849,00"
Intel Core i3 7130U 2.7GHz,"702,00"
Intel Core i5 8250U 1.6GHz,"949,00"
AMD A6-Series A6-9220 2.5GHz,"445,90"
Intel Core i7 8550U 1.8GHz,"1059,00"
Intel Core i7 7700HQ 2.8GHz,"2499,00"
Intel Core i7 7700HQ 2.8GHz,"1699,00"
Intel Core i7 8550U 1.8GHz,"1142,00"
Intel Core i3 6006U 2GHz,"444,00"
Intel Core i5 8250U 1.6GHz,"722,00"
Intel Core i5 7200U 2.5GHz,"657,00"
Intel Core i5 7200U 2.5GHz,"565,00"
Intel Core i5 8250U 1.6GHz,"799,00"
Intel Core i7 8550U 1.8GHz,"1499,00"
Intel Core i5 7200U 2.5GHz,"467,00"
Intel Core i7 8550U 1.8GHz,"1018,00"
Intel Core i7 8550U 1.8GHz,"880,00"
Intel Core i5 2.9GHz,"1958,90"
AMD Ryzen 1700 3GHz,"1549,00"
Intel Core i7 8550U 1.8GHz,"735,07"
Intel Core i7 6600U 2.6GHz,"2499,00"
Intel Core i7 6500U 2.5GHz,"812,00"
Intel Core i7 7500U 2.7GHz,"713,07"
Intel Core i7 8550U 1.8GHz,"1099,00"
Intel Core i7 8550U 1.8GHz,"745,00"
Intel Core i3 6006U 2GHz,"489,00"
Intel Core i7 8550U 1.8GHz,"849,00"
Intel Core i7 7500U 2.7GHz,"859,00"
Intel Core i3 6006U 2.0GHz,"428,00"
Intel Core i5 7300HQ 2.5GHz,"829,00"
Intel Core i5 7200U 2.5GHz,"579,00"
Intel Core i7 8550U 1.8GHz,"951,00"
Intel Core i7 7500U 2.7GHz,"659,00"
Intel Core i7 7500U 2.7GHz,"1097,00"
Intel Core i5 7200U 2.5GHz,"977,00"
Intel Core i7 7700HQ 2.8GHz,"1179,00"
Intel Core i7 7500U 2.7GHz,"659,01"
Intel Celeron Dual Core 3205U 1.5GHz,"199,00"
Intel Core i7 7700HQ 2.8GHz,"1187,00"
Intel Core i3 6006U 2GHz,"489,00"
Intel Core i7 7700HQ 2.8GHz,"1829,00"
Intel Core i5 8250U 1.6GHz,"739,00"
Intel Core i7 7700HQ 2.8GHz,"1299,00"
Intel Core i7 7700HQ 2.8GHz,"979,00"
Intel Core i7 7820HQ 2.9GHz,"2884,86"
AMD A10-Series 9600P 2.4GHz,"499,00"
Intel Core i7 7500U 2.7GHz,"1468,00"
Intel Core i3 7100U 2.4GHz,"509,00"
Intel Core i7 7700HQ 2.8GHz,"2122,00"
Intel Core i5 7200U 2.5GHz,"649,00"
Intel Core i5 7200U 2.5GHz,"549,00"
Intel Core i7 7700HQ 2.8GHz,"1265,00"
Intel Pentium Quad Core N4200 1.1GHz,"359,99"
Intel Core i7 7600U 2.8GHz,"1975,00"
Intel Core i7 6500U 2.5GHz,"1043,00"
Intel Core i5 7200U 2.5GHz,"819,00"
Intel Core i3 6006U 2GHz,"469,00"
Intel Core i5 7200U 2.5GHz,"999,00"
Intel Core i7 8550U 1.8GHz,"2499,00"
Intel Core i7 7700HQ 2.8GHz,"2099,00"
AMD A8-Series 7410 2.2GHz,"469,00"
Intel Celeron Dual Core N3350 1.1GHz,"275,00"
Intel Core i5 8250U 1.6GHz,"844,00"
Intel Core i7 8550U 1.8GHz,"2449,00"
Intel Celeron Dual Core 3855U 1.6GHz,"459,90"
Intel Core i5 7200U 2.5GHz,"980,00"
Intel Pentium Quad Core N3710 1.6GHz,"485,00"
Intel Core i7 7500U 2.7GHz,"1292,00"
Intel Core i5 7200U 2.5GHz,"589,00"
Intel Core i7 7500U 2.7GHz,"1094,00"
Intel Core i7 8550U 1.8GHz,"902,00"
AMD A12-Series 9720P 2.7GHz,"659,00"
Intel Celeron Dual Core N3350 1.1GHz,"292,00"
Intel Core i5 7200U 2.5GHz,"549,00"
Intel Core i7 7500U 2.7GHz,"1049,90"
Intel Core i7 7500U 2.7GHz,"1335,00"
Intel Core i7 7700HQ 2.8GHz,"2639,00"
Intel Core i7 7700HQ 2.8GHz,"1199,00"
Intel Core i5 7200U 2.5GHz,"943,00"
Intel Core i7 7500U 2.7GHz,"1334,00"
Intel Core i3 6006U 2GHz,"449,00"
Intel Core i7 7700HQ 2.8GHz,"999,00"
Intel Core i5 7300U 2.6GHz,"1268,00"
Intel Core i5 8250U 1.6GHz,"1049,00"
Intel Core i5 7200U 2.5GHz,"1144,00"
Intel Celeron Dual Core N3350 1.1GHz,"274,99"
Intel Core i5 8250U 1.6GHz,"1142,75"
Intel Celeron Dual Core N3060 1.6GHz,"274,90"
AMD A12-Series 9720P 3.6GHz,"899,00"
Intel Core i3 7100U 2.4GHz,"716,00"
Intel Core i7 8550U 1.8GHz,"2099,00"
Intel Core i7 8550U 1.8GHz,"1579,00"
Intel Core i7 7700HQ 2.8GHz,"1129,00"
Intel Celeron Dual Core N3060 1.6GHz,"279,00"
Intel Core i7 8650U 1.9GHz,"1607,96"
Intel Celeron Dual Core N3350 1.1GHz,"375,00"
Intel Core i5 8250U 1.6GHz,"663,00"
Intel Core i7 7700HQ 2.8GHz,"2027,42"
Intel Core i7 7500U 2.7GHz,"1304,00"
Intel Core i7 7700HQ 2.8GHz,"1409,00"
Intel Core i7 7700HQ 2.8GHz,"1738,27"
Intel Core i7 6500U 2.5GHz,"1403,00"
Intel Core i7 8550U 1.8GHz,"970,90"
Intel Celeron Dual Core N3350 1.1GHz,"321,99"
Intel Core i5 7300HQ 2.5GHz,"999,00"
Intel Core i5 7200U 2.5GHz,"557,37"
Intel Core i5 7300U 2.6GHz,"1427,00"
Intel Core i3 6006U 2GHz,"439,00"
Intel Core i5 7200U 2.5GHz,"945,00"
Intel Core i5 7200U 2.5GHz,"719,00"
Intel Core i5 7200U 2.5GHz,"639,00"
Intel Core i3 6006U 2GHz,"499,00"
Intel Pentium Quad Core N3710 1.6GHz,"389,00"
Intel Core i5 8250U 1.6GHz,"1085,00"
Intel Core i5 7300HQ 2.5GHz,"809,00"
Intel Core i7 7500U 2.7GHz,"899,00"
Intel Core i7 7500U 2.7GHz,"1750,00"
Intel Core i7 7500U 2.7GHz,"1099,00"
AMD A9-Series 9420 3GHz,"426,00"
AMD Ryzen 1700 3GHz,"2199,00"
AMD A8-Series 7410 2.2GHz,"489,00"
Intel Core i7 8550U 1.8GHz,"869,01"
AMD A9-Series 9420 3GHz,"488,99"
Intel Celeron Quad Core N3450 1.1GHz,"553,00"
Intel Celeron Dual Core N3060 1.60GHz,"309,00"
Intel Celeron Dual Core N3350 1.1GHz,"286,00"
Intel Core i7 7700HQ 2.8GHz,"846,00"
Intel Core i7 7700HQ 2.8GHz,"1191,00"
Intel Core i3 6006U 2GHz,"403,50"
Intel Core i7 7700HQ 2.8GHz,"1655,00"
Intel Core i5 7200U 2.5GHz,"1099,00"
Intel Core i7 7500U 2.7GHz,"1748,90"
Intel Core i7 7500U 2.7GHz,"2282,00"
Intel Core i3 7100U 2.4GHz,"549,00"
Intel Core i5 6440HQ 2.6GHz,"1369,00"
Intel Core i7 6820HQ 2.7GHz,"2135,00"
Intel Core i7 7500U 2.7GHz,"2509,00"
Intel Core i7 7700HQ 2.8GHz,"1039,00"
Intel Core i7 7700HQ 2.8GHz,"1591,00"
Intel Core i5 8250U 1.6GHz,"693,99"
Intel Core i7 7700HQ 2.8GHz,"1349,00"
Intel Core i7 7500U 2.7GHz,"778,87"
AMD A9-Series 9420 3GHz,"499,00"
Intel Core i7 8550U 1.8GHz,"1229,56"
Intel Core i5 7200U 2.5GHz,"938,00"
Intel Core i7 7700HQ 2.8GHz,"2712,00"
Intel Core i7 7500U 2.7GHz,"2625,00"
Intel Celeron Dual Core N3350 1.1GHz,"306,00"
Intel Core i7 7700HQ 2.8GHz,"1529,00"
Intel Core i5 8250U 1.6GHz,"1144,50"
Intel Core i7 7700HQ 2.8GHz,"879,00"
Intel Core i7 7700HQ 2.8GHz,"2249,00"
Intel Core i7 7500U 2.7GHz,"1873,00"
Intel Core i7 6500U 2.5GHz,"1747,00"
Intel Core i7 7600U 2.8GHz,"1680,00"
Intel Core i3 6006U 2GHz,"409,00"
Intel Celeron Dual Core N3350 1.1GHz,"304,45"
Intel Core i7 7700HQ 2.8GHz,"1925,00"
Intel Core i7 7700HQ 2.8GHz,"1943,00"
Intel Core i3 6006U 2GHz,"469,00"
Intel Core i7 6500U 2.5GHz,"789,01"
Intel Core i5 7200U 2.5GHz,"928,00"
Intel Core i5 7200U 2.5GHz,"598,90"
Intel Core i3 6006U 2GHz,"689,00"
Intel Core i7 6500U 2.5GHz,"1500,00"
Intel Core i5 7200U 2.5GHz,"539,95"
Intel Core i7 8550U 1.8GHz,"1215,38"
Intel Core i7 7700HQ 2.8GHz,"1899,00"
Intel Celeron Quad Core N3450 1.1GHz,"449,00"
Intel Core i7 7820HQ 2.9GHz,"1427,00"
Intel Core i3 7100U 2.4GHz,"597,00"
Intel Core i7 7820HK 2.9GHz,"2799,00"
Intel Core i7 7700HQ 2.8GHz,"1159,00"
Intel Core i7 8550U 1.8GHz,"1142,40"
Intel Core i7 7600U 2.8GHz,"1099,00"
Intel Core i7 7700HQ 2.8GHz,"1999,00"
Intel Celeron Dual Core N3350 1.1GHz,"299,00"
Intel Celeron Dual Core N3060 1.6GHz,"269,00"
Intel Core i7 7500U 2.7GHz,"1010,00"
Intel Core i3 7130U 2.7GHz,"599,00"
Intel Core i7 7600U 2.8GHz,"2445,00"
Intel Core i7 7820HQ 2.9GHz,"2449,00"
AMD Ryzen 1600 3.2GHz,"1695,00"
Intel Celeron Dual Core N3060 1.6GHz,"347,00"
Intel Core i7 7Y75 1.3GHz,"2199,00"
Intel Core i7 7500U 2.7GHz,"2382,00"
Intel Core i5 7200U 2.5GHz,"559,00"
